0,3,0,0,3,2,!! RT As a woman you shouldn t complain about cleaning up your house. & as a man you should always take the trash out..,0
1,3,0,3,0,1,!! RT boy dats cold..tyga dwn bad for cuffin dat hoe in the 1st place!!,1
2,3,0,3,0,1,!! RT Dawg!! RT You ever fuck a bitch and she start to cry? You be confused as shit,1
3,3,0,2,1,1,!! RT she look like a tranny,1
4,6,0,6,0,1,!! RT The shit you hear about me might be true or it might be faker than the bitch who told it to ya ,1
5,3,1,2,0,1,!! The shit just blows me..claim you so faithful and down for somebody but still fucking with hoes! 😂😂 ,1
6,3,0,3,0,1,!! I can not just sit up and HATE on another bitch .. I got too much shit going on! ,1
7,3,0,3,0,1,!!“ cause I m tired of you big bitches coming for us skinny girls!!”,1
8,3,0,3,0,1, & you might not get ya bitch back & thats that ,1
9,3,1,2,0,1, hobbies include fighting Mariam . bitch,1
10,3,0,3,0,1, Keeks is a bitch she curves everyone lol I walked into a conversation like this. Smh,1
11,3,0,3,0,1, Murda Gang bitch its Gang Land ,1
12,3,0,2,1,1, So hoes that smoke are losers ? yea .. go on IG,1
13,3,0,3,0,1, bad bitches is the only thing that i like ,1
14,3,1,2,0,1, bitch get up off me ,1
15,3,0,3,0,1, bitch nigga miss me with it ,1
16,3,0,3,0,1, bitch plz whatever ,1
17,3,1,2,0,1, bitch who do you love ,1
18,3,0,3,0,1, bitches get cut off everyday B ,1
19,3,0,3,0,1, black bottle & a bad bitch ,1
20,3,0,3,0,1, broke bitch cant tell me nothing ,1
21,3,0,3,0,1, cancel that bitch like Nino ,1
22,3,0,3,0,1, cant you see these hoes wont change ,1
23,3,0,3,0,1, fuck no that bitch dont even suck dick 😂😂 the Kermit videos bout to fuck IG up,1
24,3,0,3,0,1, got ya bitch tip toeing on my hardwood floors 😂 ,1
25,3,0,2,1,1, her pussy lips like Heaven doors 😌,1
26,3,0,3,0,1, hoe what its hitting for ,1
27,3,0,3,0,1, i met that pussy on Ocean Dr . i gave that pussy a pill 😌,1
28,3,0,3,0,1, i need a trippy bitch who fuck on Hennessy ,1
29,3,0,3,0,1, i spend my money how i want bitch its my business ,1
30,3,0,3,0,1, i txt my old bitch my new bitch pussy wetter ,1
31,3,0,3,0,1, i would say im back to the old me but my old bitches would get excited 😌,1
32,3,0,3,0,1, if you aint bout that Murder Game pussy nigga shut up ,1
33,3,0,3,0,1, if you are toes ain t done you pussy stinks ,1
34,3,0,3,0,1, im done with bitter bitches its a wrap for that . if you a angry bird theres a app for that ,1
35,3,0,3,0,1, is that ya bitch ,1
36,3,0,3,0,1, it aint nothing to cut a bitch off ,1
37,3,0,3,0,1, jus meet son now he ya mane ass bitches Shots,1
